german	english	authority	note
Begriff	concept	di-giovanni	user-confirmed; never "Notion" (Miller)
aufheben / Aufhebung	sublate / sublation	di-giovanni
Sein	being	di-giovanni
Nichts	nothing / the nothing	di-giovanni	"das Nichts" = the nothing
Werden	becoming	di-giovanni
Entstehen / Vergehen	coming-to-be / ceasing-to-be	di-giovanni
Dasein	existence	di-giovanni	DG: Dasein = existence
Existenz	concrete existence	di-giovanni	keeps Dasein/Existenz distinct
daseiend	existent	di-giovanni
Etwas / ein Anderes	something / an other	di-giovanni
Anderssein	otherness	di-giovanni
Sein-für-Anderes	being-for-other	di-giovanni
Ansichsein / Fürsichsein	being-in-itself / being-for-itself	di-giovanni	intraword antiqua carries: being-<i>in-itself</i>
Sein-für-Eines	being-for-one	di-giovanni
Gesetztsein	positedness	di-giovanni
an sich / für sich / an und für sich	in itself / for itself / in and for itself	di-giovanni
Bestimmung	determination	di-giovanni
Bestimmtheit	determinateness	di-giovanni
Beschaffenheit	constitution	di-giovanni
Grenze	limit	di-giovanni
Schranke	restriction	di-giovanni	never "limitation" (Miller)
Sollen	the ought	di-giovanni
Endlichkeit / Unendlichkeit	finitude / infinity	di-giovanni
das Unendliche	the infinite	di-giovanni
schlechte Unendlichkeit	bad infinity	di-giovanni	Miller has "spurious infinite"
unendlicher Progress	infinite progress	di-giovanni
Idealität / Realität	ideality / reality	di-giovanni
Eins	one / the one	di-giovanni
Repulsion / Attraktion	repulsion / attraction	di-giovanni
Größe	magnitude	di-giovanni
Quantität / Qualität	quantity / quality	di-giovanni
Quantum	quantum	di-giovanni	plural quanta
Anzahl	amount	di-giovanni
Einheit	unit	di-giovanni	as correlate of Anzahl; otherwise unity
Grad	degree	di-giovanni
extensiv / intensiv	extensive / intensive	di-giovanni
Verhältnis (quantitativ)	ratio	di-giovanni	direct/inverse ratio, ratio of powers
Verhältnis (wesentlich)	relation	di-giovanni	essential relation, absolute relation
Maß	measure	di-giovanni
das Maßlose	the measureless	di-giovanni
Knotenlinie	nodal line	di-giovanni
Wahlverwandtschaft	elective affinity	di-giovanni
spezifisch	specific	di-giovanni
Indifferenz	indifference	di-giovanni
Wesen	essence	di-giovanni
Schein / scheinen	shine / to shine	di-giovanni	user-confirmed; never "illusory being" (Miller)
Reflexion	reflection	di-giovanni
setzende / äußere / bestimmende Reflexion	positing / external / determining reflection	di-giovanni
Reflexionsbestimmungen	determinations of reflection	di-giovanni
Identität	identity	di-giovanni
Unterschied	difference	di-giovanni
Verschiedenheit	diversity	di-giovanni
Gegensatz	opposition	di-giovanni
Widerspruch	contradiction	di-giovanni
Grund	ground	di-giovanni
Bedingung	condition	di-giovanni
Ding / Eigenschaft	thing / property	di-giovanni
Erscheinung	appearance	di-giovanni
Gesetz	law	di-giovanni
Kraft / Äußerung	force / expression	di-giovanni
das Innere / das Äußere	the inner / the outer	di-giovanni
Wirklichkeit	actuality	di-giovanni
Möglichkeit / Notwendigkeit / Zufälligkeit	possibility / necessity / contingency	di-giovanni
Substanz / Akzidenz	substance / accident	di-giovanni
Kausalität	causality	di-giovanni
Wechselwirkung	reciprocity	di-giovanni
Allgemeinheit / Besonderheit / Einzelheit	universality / particularity / singularity	di-giovanni
das Allgemeine / das Besondere / das Einzelne	the universal / the particular / the singular	di-giovanni
Urteil	judgment	di-giovanni
Schluss	syllogism	di-giovanni
Mitte / Extreme	middle term / extremes	di-giovanni
Objekt / Objektivität	object / objectivity	di-giovanni
Subjekt / Subjektivität	subject / subjectivity	di-giovanni
Mechanismus / Chemismus / Teleologie	mechanism / chemism / teleology	di-giovanni
Zweck	purpose	di-giovanni	never "end" (Miller)
Mittel	means	di-giovanni
Leben	life	di-giovanni
Idee	idea	di-giovanni
die absolute Idee	the absolute idea	di-giovanni
Erkennen / Erkenntnis	cognition	di-giovanni
Wissen	knowledge	di-giovanni
Vorstellung	representation	di-giovanni
Verstand	understanding	di-giovanni
Vernunft	reason	di-giovanni
Denken	thinking	di-giovanni
Gedanke	thought	di-giovanni
Unmittelbarkeit	immediacy	di-giovanni
Vermittlung	mediation	di-giovanni
Moment	moment	di-giovanni
Übergang / übergehen	transition / to pass over	di-giovanni
Aufgehobensein	sublatedness	di-giovanni
Anmerkung	Remark	di-giovanni	node label
Selbstständigkeit	self-subsistence	hegel1-locked	carried from hegel1
Sache	matter	campaign-locked	die Sache selbst = the matter itself
Beschränkung	limitation	campaign-locked	distinct from Schranke = restriction
meinen / Meinen	to suppose / supposing	campaign-locked	017: das Meinen = supposing (subjective opinion family)
Insichsein	being-within-itself	campaign-locked	030
Veränderung	alteration	campaign-locked	030
das wahrhafte Unendliche	the genuine infinite	campaign-locked	037
Progress ins Unendliche	progress into infinity	campaign-locked	039
seiend (bare)	that is / which is	campaign-locked	019-027: existent reserved for daseiend
Vielheit	plurality	campaign-locked	048-055
Mannigfaltigkeit	manifoldness	campaign-locked	048-055
Menge	multitude	campaign-locked	074-078
Mehrheit	multiplicity	campaign-locked	074-078
