file	page	search	replace	note
003_einleitung.md	5	nichts, sie in Resultate abzuziehen	nichts, sie im Resultate abzuziehen	in > im
003_einleitung.md	11	welcher es gleichgültig ist, eigene oder fremde	welche es gleichgültig ist, eigene oder fremde	* welcher > welche
004_i_die_sinnliche_gewissheit_oder_das_diese_und_das_meynen.md	25	nicht über ihn zu reflectiren und nachdenken	nicht über ihn zu reflectiren und nachzudenken	insert zu after nach (nachzudenken)
004_i_die_sinnliche_gewissheit_oder_das_diese_und_das_meynen.md	26	was wir sagen, ist; _Dieses_	was wir sagen, ist: _Dieses_	semicolon > colon
005_ii_die_wahrnehmung_oder_das_ding_und_die_taeuschung.md	45	als die Continuität so bestimmte	als die Continuität bestimmte	delete so
005_ii_die_wahrnehmung_oder_das_ding_und_die_taeuschung.md	53	sein Wesen in einem andern zu heben	sein Wesen in einem andern zu haben	heben > haben
005_ii_die_wahrnehmung_oder_das_ding_und_die_taeuschung.md	56	weist sich in Einer und derselben Rücksicht	erweiſst sich in Einer und derselben Rücksicht	weist > erweiſst
006_iii_krafft_und_verstand_erscheinung_und_uebersinnliche_welt.md	59	selbst wieder nicht anders, als das auf eine Seite	selbst wieder nichts anders, als das auf eine Seite	nicht > nichts
006_iii_krafft_und_verstand_erscheinung_und_uebersinnliche_welt.md	70	in eine unterschiedene Einheit zusammen	in eine ununterschiedene Einheit zusammen	* unterſch > ununterſch
006_iii_krafft_und_verstand_erscheinung_und_uebersinnliche_welt.md	74	etwas wahr zu nehmen, von dem wir wissen	etwas als wahr zu nehmen, von dem wir wissen	insert als before wahr
009_b_freyheit_des_selbstbewusstseyns_stoicismus_skepticismus_und_das_unglueckliche_bewusstseyn.md	148	eine warme Nebenerfüllung	eine warme Nebelerfüllung	* Nebenerfüllung > Nebelerfüllung
009_b_freyheit_des_selbstbewusstseyns_stoicismus_skepticismus_und_das_unglueckliche_bewusstseyn.md	152	löst sich nur daher eine Oberfläche	löst sich daher nur eine Oberfläche	nur daher > daher nur
010_v_gewissheit_und_wahrheit_der_vernunft.md	164	spricht der Idealismus ihren Begriffe aus	spricht der Idealismus ihren Begriff aus	Begriffe > Begriff
012_a_beobachtung_der_natur.md	177	nur ums Wahrnehmen zu thun, und z. B.	nur ums Wahrnehmen zu thun sey, und z. B.	insert sey after thun; errata prints ſey
012_a_beobachtung_der_natur.md	205	der Menge der weggenommenen _zunimmt;_	der Menge des weggenommenen _zunimmt;_	der > des
012_a_beobachtung_der_natur.md	211	Bedeutung; und die Vorstellung des Gesetzes legt	Bedeutung; und der Vorstellung des Gesetzes legt	die > der
012_a_beobachtung_der_natur.md	224	Was nur in diesem Hauffen	Was nun in diesem Hauffen	nur > nun
012_a_beobachtung_der_natur.md	226	diſs ist hiedurch an sich allgemeine	diſs ist hiedurch an sich allgemein	allgemeine > allgemein
014_c_beobachtung_der_beziehung_des_selbstbewusstseyns_auf_seine_unmittelbare_wirklichkeit_physiognomik_und_schaedellehre.md	244	welche vorhin auſser dem Individuum vorfand	welche die Beobachtung vorhin auſser dem Individuum vorfand	* insert die Beobachtung after welche
014_c_beobachtung_der_beziehung_des_selbstbewusstseyns_auf_seine_unmittelbare_wirklichkeit_physiognomik_und_schaedellehre.md	249	weil in ihnen das Thun _als Thun_ gegenwärtig, {{{ 250 }}} das Thun _als Thun_ gegenwärtig, das Thun _als That_	weil in ihnen das Thun _als Thun_ gegenwärtig, {{{ 250 }}} das Thun _als That_	strike duplicated das Thun als Thun gegenwärtig
