gw_page	file_position	paragraph	sentence	anchor_reviewed	anchor_modernized	anchor_en	note
9	001	1	1	Eine Erklärung, wie ſie einer Schrifft	Eine Erklärung, wie sie einer Schrift	A prefatory explanation of the kind	
10	001	1	6	Bey der Philoſophie hingegen würde die	Bei der Philosophie hingegen würde die	With philosophy, by contrast, an inconsistency	
11	001	3	4	— Denn die Sache iſt nicht	— Denn die Sache ist nicht	— For what exhausts the matter	
12	001	5	5	Daſs die Erhebung der Philoſophie zur	Dass die Erhebung der Philosophie zur	Attempts with this purpose could be	
13	001	7	5	Dieſem Bedürfniſſe ſoll ſie alſo nicht	Diesem Bedürfnisse soll sie also nicht	What this need asks of philosophy,	
14	001	9	3	Die Philoſophie aber muſs ſich hüten,	Die Philosophie aber muss sich hüten,	Philosophy, however, must beware of wanting	
15	001	11	5	Diſs allmählige Zerbrökeln, das die Phyſiognomie	Dies allmähliche Zerbröckeln, das die Physiognomie	Such gradual crumbling left the physiognomy	
16	001	13	5	Die verſtändige Form der Wiſſenſchaft iſt	Die verständige Form der Wissenschaft ist	Science in the form that belongs	
17	001	15	4	Die für ſich wohl wahre Idee	Die für sich wohl wahre Idee	The idea, true enough taken by	
18	001	16	6	— In der Rückſicht, daſs die	— In der Rücksicht, dass die	— Considering that a general representation,	
19	001	19	3	Aber diſs An ſich iſt die	Aber dies An sich ist die	But this in itself is the	
20	001	21	4	— Es iſt daher ein Verkennen	— Es ist daher ein Verkennen	— To shut reflection out of	
21	001	23	5	Inſofern iſt nicht abzuſehen, warum nicht	Insofern ist nicht abzusehen, warum nicht	So far as that goes, there	
22	001	24	8	Sie kann ſomit eben ſo ſehr	Sie kann somit eben so sehr	It may accordingly be taken just	
23	001	26	5	Weil es die Unmittelbarkeit des Geiſtes,	Weil es die Unmittelbarkeit des Geistes,	Substance is the transfigured essentiality: reflection	
24	001	27	1	Diſs Werden der Wiſſenſchaft überhaupt, oder	Dies Werden der Wissenschaft überhaupt, oder	What the present Phenomenology of spirit	
25	001	28	6	So durchlaufft jeder einzelne auch die	So durchlauft jeder einzelne auch die	In the same way each singular	
26	001	29	5	— Weil die Substanz des Individuums,	— Weil die Substanz des Individuums,	— The individual, to be sure,	
27	001	31	2	Es ist die gewöhnlichste Selbsttäuschung wie	Es ist die gewöhnlichste Selbsttäuschung wie	It is the commonest self-deception, and	
28	001	32	14	— Sie ist daſſelbe, was oben	— Sie ist dasselbe, was oben	— This force is the same	
29	001	34	3	Der Weg, wodurch der Begriff des	Der Weg, wodurch der Begriff des	Through this movement the road by	
30	001	37	5	Indem ſie diſs vollkommen gezeigt, hat	Indem sie dies vollkommen gezeigt, hat	With substance having shown this to	
31	001	39	10	Es wird aus dieſer Unterſcheidung wohl	Es wird aus dieser Unterscheidung wohl	Their equality does of course emerge	
32	001	42	2	Ebenſo würde die Kenntniſs, die einer	Ebenso würde die Kenntnis, die einer	In the same way, the acquaintance	
33	001	44	3	Sie geht nicht aus dem Begriffe	Sie geht nicht aus dem Begriffe	It does not emerge from the	
34	001	45	12	Daſs es der Begriff iſt, der	Dass es der Begriff ist, der	From the fact that it is	
35	001	47	4	Das Verſchwindende iſt vielmehr ſelbſt als	Das Verschwindende ist vielmehr selbst als	What vanishes must rather be viewed	
36	001	48	11	Auch mag ſie in freyerer Manier,	Auch mag sie in freierer Manier,	It may also survive in a	
37	001	50	3	Es werden dabey theils ſinnliche Beſtimmungen	Es werden dabei teils sinnliche Bestimmungen	Part of what gets taken up	
38	001	51	8	Was dieſe Methode, allem himmliſchen und	Was diese Methode, allem himmlischen und	The yield of this method —	
39	001	53	7	— Wenn die Beſtimmtheit auch eine	— Wenn die Bestimmtheit auch eine	— Even when the determinateness is	
40	001	54	8	— Durch dieſe Natur des Seyenden	— Durch diese Natur des Seienden	— Given this nature of what	
41	001	56	2	— Die concrete Gestalt sich selbst	— Die konkrete Gestalt sich selbst	— By moving itself, the concrete	
42	001	58	5	Das andere, das Räsonniren, hingegen ist	Das andere, das Räsonieren, hingegen ist	The other, ratiocination, is by contrast	
43	001	60	7	In dieser Bewegung geht jenes ruhende	In dieser Bewegung geht jenes ruhende	Within that movement the subject at	
44	001	61	4	So soll auch im philosophischen Satze	So soll auch im philosophischen Satze	In the philosophical proposition, likewise, the	
45	001	64	1	Eine Schwierigkeit, die vermieden werden ſollte,	Eine Schwierigkeit, die vermieden werden sollte,	A difficulty that ought to be	
46	001	66	6	Aus dieſem Grunde kann es zum	Aus diesem Grunde kann es zum	That is why it can serve	
47	001	68	2	Es iſt nicht erfreulich, zu bemerken,	Es ist nicht erfreulich, zu bemerken,	It is not a pleasant thing	
48	001	69	8	Denn die Natur dieſer iſt auf	Denn die Natur dieser ist auf	For the nature of humanity is	
49	001	71	3	Somit kann ich auch hoffen, daſs	Somit kann ich auch hoffen, dass	So I may also hope that	
53	003	1	1	Es ist eine natürliche Vorstellung, daſs,	Es ist eine natürliche Vorstellung, dass,	It is a natural representation that	
54	003	1	11	Oder wenn die Prüffung des Erkennens,	Oder wenn die Prüfung des Erkennens,	Or if testing the cognition that	
55	003	4	2	Denn das Vorgeben, theils daſs ihre	Denn das Vorgeben, teils dass ihre	For the pretense, partly that their	
56	003	6	1	Das natürliche Bewuſstseyn wird sich erweisen,	Das natürliche Bewusstsein wird sich erweisen,	Natural consciousness will prove to be	
57	003	7	1	Die Vollständigkeit der Formen des nicht	Die Vollständigkeit der Formen des nicht	The completeness of the forms of	
58	003	8	8	Oder die Furcht der Wahrheit mag	Oder die Furcht der Wahrheit mag	Or the fear of truth may	
59	003	11	3	Das Wesen oder der Maſsstab fiele	Das Wesen oder der Maßstab fiele	On such a showing the essence,	
60	003	13	6	Auf dieser Unterscheidung, welche vorhanden ist,	Auf dieser Unterscheidung, welche vorhanden ist,	The testing rests on this distinction,	
61	003	15	3	Dagegen es sonst scheint, daſs wir	Dagegen es sonst scheint, dass wir	Whereas it otherwise seems that we	
62	003	17	2	Indem es zu seiner wahren Existenz	Indem es zu seiner wahren Existenz	As consciousness drives itself onward to	
63	004	1	1	Das Wissen, welches zuerst oder unmittelbar	Das Wissen, welches zuerst oder unmittelbar	Whatever knowledge comes first, that is,	
64	004	3	1	An dem reinen Seyn aber, welches	An dem reinen Sein aber, welches	Yet a good deal else plays	
65	004	7	1	Das Itzt, welches Nacht ist, wird	Das Itzt, welches Nacht ist, wird	The Now that is night gets	
66	004	11	1	Vergleichen wir das Verhältniſs, in welchem	Vergleichen wir das Verhältnis, in welchem	Set the relationship in which knowledge	
67	004	14	2	Wir kommen hiedurch dahin, das Ganze	Wir kommen hierdurch dahin, das Ganze	This brings us to positing sense-certainty	
68	004	18	1	Wir sehen also in diesem Aufzeigen	Wir sehen also in diesem Aufzeigen	What we see in this pointing-out	
69	004	20	2	Das natürliche Bewuſstseyn geht deſswegen auch	Das natürliche Bewusstsein geht deswegen auch	That is also why natural consciousness	
70	004	21	3	Sie meynen dieses Stück Papier, worauf	Sie meinen dieses Stück Papier, worauf	What they mean is this piece	
71	005	1	1	Die unmittelbare Gewiſsheit nimmt sich nicht	Die unmittelbare Gewissheit nimmt sich nicht	Immediate certainty does not take what	
72	005	3	1	Das Dieses ist also gesetzt, als	Das Dieses ist also gesetzt, als	The This is accordingly posited as	
