volume	page	verdict	certainty	prev_tail	next_head
21	6	join	sure	sey. – Indem so die Wissenschaft	und der gemeine Menschenverstand sich in
21	7	join	sure	thun und sich widersprechend dagegen benehmen,	so haben sie dafür die Consequenzen
21	8	join	sure	*Inhalts* seyn, welche sich im wissen-	schaftlichen Erkennen *bewegt*, indem zugleich diese
21	9	join	sure	das äusserliche Verhältniß betrift, so war	dem ersten Theil *des* *Systems* *der*
21	11	join	sure	als das Physikalische, dem Geistigen gegenüber,	so müßte man sagen, daß das
21	12	join	sure	die Realität, in welcher ihre Gegen-	stände sich festhalten, dieses Zwingende mit
21	13	join	sure	In den stillen Räumen des zu	sich selbst gekommenen und nur in
21	14	join	sure	daß wir sie im Besitz haben,	noch weniger daß sie bey unserer
21	15	join	sure	ist das weiter damit Zusammenhängende, nach	welchem sie als äussere Formen gefaßt
21	16	join	sure	dem was er *wirklich* ist, sondern	dessen als was er *sich* *weiß*;
21	17	join	sure	für das Denken der Vernunft sind,	– das ebenso gerechte Bewußtseyn festgesetzt,
21	18	join	sure	sie in die Sprache hereintreten, ungegen-	ständlich, unbeachtet bleiben, abhandelt, auch die
21	19	join	sure	weniger zu rechtfertigen, als solches *Anderes*	andere Denkbestimmungen und Begriffe sind, in
21	20	new	uncertain	die Production der ganzen Entwicklung verschaft.	Bey der Erwähnung platonischer Darstellung kann,
21	28	new	uncertain	ist, der Vorstellung näher zu bringen.	Wenn die Logik als die Wissenschaft
21	29	join	sure	jener neblichten Unbestimmtheit gelassen, sondern be-	stimmter genommen wird, so ist jede
21	30	join	sure	Wahrheit, nur die Erscheinung zu erkennen,	nur etwas, dem die Natur der
21	31	join	sure	für die Erfahrung als geltend gelassen	werden, so hat die Kritik keine
21	32	join	sure	wird. Diese Wissenschaft, in dem Zustan-	de, worin sie sich noch befindet,
21	33	join	sure	leisten, daß er vor die Vorstel-	lung gebracht und eine historische Kenntniß
21	34	join	sure	*an* *und* *für* *sich* *seyende* ist.	Dieses objective Denken ist denn der
21	35	join	sure	daß das Erschlossene nicht ein dem	Gegenstande Aeusserliches und Fremdes sey, sondern
21	36	join	sure	reines Wesen, befindet, zeigt einen zu	großen Unterschied, als daß es nicht
21	37	join	sure	daher nicht mit Unrecht dieses Denken	dem Rechnen und das Rechnen wieder
21	38	join	sure	deren jede in ihrer Realisirung sich	zugleich selbst auflöst, ihre eigene Negation
21	39	join	sure	das Ganze der Ausführung schon durchlaufen	hat, daher die Folge seiner Momente
21	40	join	sure	kann sagen, gänzlich verkannt worden, erhält	dadurch eine ganz andere Stellung. –
21	41	join	sure	des Positiven im Negativen, besteht *das*	*Speculative*. Es ist die wichtigste, aber
21	42	join	sure	*Wahrheit* zu enthüllen, hat diese Wis-	senschaft in ihrer abstracten Gestalt, in
21	43	join	sure	des Bewußtseyns. Es treibt darin ein	von sinnlichen Anschauungen und Zwecken, von
21	45	join	sure	hier gleichfalls als eine *Voraussetzung* angegeben	worden. Die Logik bestimmte sich darnach
21	46	join	sure	in die Logik des *Begriffs* als	*Seyns*, und des Begriffs *als* *Begriffs*,
21	47	join	sure	dem, was gewöhnlich Logik genannt worden,	noch eine, nemlich eine *transcendentale* *Logik*
