id	volume	gw_page	class	gw_text	dta_text	ruling	certainty	ctx_before	ctx_after	note
h2-0001	11	251	ortho_tz_z	Voraussetzung	Voraussezung	keep_gw	sure	selbst voraus, und das Aufheben dieser	ist es selbst; umgekehrt ist diß	GW-Normalisierung (tz_z)
h2-0002	11	253	ortho_tz_z	Setzen,	Sezen	keep_gw	sure	aufgehoben ist. Die Reflexion in ihrem	hebt unmittelbar ihr Setzen auf, so	GW-Normalisierung (tz_z)
h2-0003	11	259	grouped	u.s.w. Denn Seyn, Daseyn u.s.f.	u. s. w. Denn Seyn Daseyn u. s. f.	keep_gw	sure	oder Alles hat eine Qualität Quantität	sind als logische Bestimmungen überhaupt Prädicate	Druckfehler (f/s) im Original, GW emendiert
h2-0004	11	261	residual	vom	von	keep_gw	sure	Ungleichsetzen sey; ein Gleichsetzen, indem man	Unterschiede, ein Ungleichsetzen, indem man vom	vom Unterschiede: Parallelstelle im Kontext bestätigt vom
h2-0005	11	262	residual	[es]		keep_gw	sure	und nicht weiter führe. So ist	die leere Identität, an welcher diejenigen	GW-Herausgeberergänzung in eckigen Klammern
h2-0006	11	266	residual	u.s.f.	ꝛc.	keep_gw	sure	sind zwey Dinge unterschieden daß sie	Darin das heißt, in einer und	GW normalisiert ꝛc. zu u.s.f.
h2-0007	11	274	near_word	Reflexionsbestimmung	Reflectionsbestimmung	keep_gw	sure	das Positive und Negative ist die	an und für sich; erst in	GW-Normalisierung Reflections- zu Reflexions-
h2-0008	11	275	residual	Positive;	Negative	use_dta	uncertain	negativ ausser der Beziehung auf das	in dieser Bestimmung wird bloß an	Positive/Negative: inhaltlich; Verlese-Risiko in dichtem Kontext, GW-Druck ungeprüft
h2-0009	11	277	near_word	vervielfältigtes	vervielfältiges	keep_gw	sure	ist, ist es dadurch ein sehr	Mittel. Nicht nur aber sind die	vervielfältiges = Druckfehler (fehlendes t), GW emendiert
h2-0010	11	278	residual	a²	a 2	keep_gw	sure	gezogen werden, daß wenn a a	ist, umgekehrt a a a² gebe.	Exponenten-Wiedergabe (a² vs. a 2)
h2-0011	11	278	residual	a²	a 2	keep_gw	sure	a a² ist, umgekehrt a a	gebe. Indem der eine Factor die	Exponenten-Wiedergabe (a² vs. a 2)
