surface	cab_norm	count	class	ruling	result	reason
—	--	1286	residual	reject	—	em-dash mangled by CAB; keep
Bewuſstseyn	Bewußtsein	971	residual	rewrite	Bewusstsein	house post-1996: -wusstsein
diſs	dies	583	residual	rewrite	dies	plan: accept modernization, lowercase
andern	anderen	316	residual	reject	andern	morphological; valid modern German
Bewuſstseyns	Bewußtseins	282	residual	rewrite	Bewusstseins	house post-1996: -wusstsein
Selbstbewuſstseyn	Selbstbewußtsein	244	residual	rewrite	Selbstbewusstsein	house post-1996: -wusstsein
Einzelnheit	Einzelheit	203	residual	reject	Einzelnheit	Hegelian term of art
weiſs	weiß	186	residual	accept	weiß	post-1996 keeps ß after diphthong
nemlich	nämlich	181	residual	accept	nämlich	plan: straight modernization
Diſs	Diss	150	ss_audit	rewrite	Dies	plan: Diss is not a word
hiemit	hiermit	146	residual	accept	hiermit	plan: straight modernization
Bewuſstſeyn	Bewusstsein	135	ss_audit	rewrite	Bewusstsein	house post-1996: -wusstsein
heiſst	heißt	131	residual	accept	heißt	post-1996 keeps ß after diphthong
Selbstbewuſstseyns	Selbstbewusstseins	121	ss_audit	rewrite	Selbstbewusstseins	house post-1996: -wusstsein
Ansich	An_sich	104	residual	rewrite	Ansich	CAB underscore artifact; keep word
Innern	Inneren	87	residual	reject	Innern	morphological; valid modern German
Selbſtbewuſstseyn	Selbstbewußtsein	85	residual	rewrite	Selbstbewusstsein	house post-1996: -wusstsein
andre	andere	84	residual	reject	andre	morphological; valid modern German
eigne	eigene	75	residual	reject	eigne	morphological; valid modern German
Andern	Anderen	73	residual	reject	Andern	morphological; valid modern German
Selbſtbewuſstſeyn	Selbstbewußtsein	66	residual	rewrite	Selbstbewusstsein	house post-1996: -wusstsein
itzt	jetzt	66	residual	reject	itzt	das Itzt is the argument of ch. I
hiedurch	hierdurch	61	residual	accept	hierdurch	plan: straight modernization
eignen	eigenen	61	residual	reject	eignen	morphological; valid modern German
Itzt	Jetzt	56	residual	reject	Itzt	das Itzt is the argument of ch. I
Bewuſstſeyns	Bewußtseins	50	residual	rewrite	Bewusstseins	house post-1996: -wusstsein
Anſich	An_sich	43	residual	rewrite	Ansich	CAB underscore artifact; keep word
eignes	eigenes	37	residual	reject	eignes	morphological; valid modern German
Selbſtbewuſstseyns	Selbstbewusstseins	31	ss_audit	rewrite	Selbstbewusstseins	house post-1996: -wusstsein
Selbſtbewuſstſeyns	Selbstbewusstseins	25	ss_audit	rewrite	Selbstbewusstseins	house post-1996: -wusstsein
Andre	Andere	22	residual	reject	Andre	morphological; valid modern German
ansich	an_sich	15	residual	rewrite	ansich	CAB underscore artifact; keep word
ebendadurch	eben_dadurch	14	residual	rewrite	ebendadurch	CAB underscore artifact; keep word
anſich	an_sich	14	residual	rewrite	ansich	CAB underscore artifact; keep word
Hiedurch	Hierdurch	13	residual	accept	Hierdurch	plan: straight modernization
eigner	eigener	10	residual	reject	eigner	morphological; valid modern German
Selbstbewuſstſeyns	Selbstbewusstseins	7	ss_audit	rewrite	Selbstbewusstseins	house post-1996: -wusstsein
Hiemit	Hiermit	6	residual	accept	Hiermit	plan: straight modernization
andres	anderes	5	residual	reject	andres	morphological; valid modern German
Selbstbewuſstſeyn	Selbstbewußtsein	4	residual	rewrite	Selbstbewusstsein	house post-1996: -wusstsein
‒	-	3	residual	reject	‒	figure dash; keep
